dataset,rows,columns,completeness_pct,duplicate_rows,duplicate_pct,numeric_columns,date_candidate_count,geo_candidate_count,empty_columns,high_null_columns,quality_score,quality_level,flags
bcn_equipamientos_limpio.csv,2722,38,84.05,0,0.0,20,1,4,1,5,87.8,alta,5_columnas_muy_nulas
sepe_contratos_limpio.csv,97538,23,83.25,0,0.0,16,3,0,0,3,89.5,alta,3_columnas_muy_nulas
bcn_turismo_limpio.csv,446,37,89.35,0,0.0,19,1,4,3,4,91.2,alta,4_columnas_muy_nulas
bcn_movilidad_limpio.csv,8055,9,100.0,0,0.0,5,2,0,0,0,92.0,alta,sin_geo_clara
bcn_alquiler_limpio.csv,1068,8,100.0,0,0.0,2,0,2,0,0,92.0,alta,sin_fecha_clara
bcn_transporte_limpio.csv,27,15,100.0,0,0.0,9,1,0,0,0,92.0,alta,sin_geo_clara
idescat_limpio.csv,13,13,100.0,0,0.0,4,0,1,0,0,92.0,alta,sin_fecha_clara
ine_limpio.csv,1059,9,88.88,0,0.0,1,1,0,1,1,94.0,alta,1_columnas_muy_nulas
sepe_paro_limpio.csv,98156,24,89.09,0,0.0,17,3,0,0,0,95.1,alta,ok
bcn_zonas_verdes_limpio.csv,33389,23,95.77,0,0.0,7,2,7,0,1,97.1,alta,1_columnas_muy_nulas
bcn_licencias_limpio.csv,44000,48,98.52,0,0.0,22,2,9,0,1,98.3,alta,1_columnas_muy_nulas
bcn_seguridad_limpio.csv,8072,24,98.08,0,0.0,13,5,8,0,0,99.1,alta,ok
indicadores_limpios.csv,254017,12,99.83,0,0.0,3,2,1,0,0,99.9,alta,ok
ree_precios_limpio.csv,77323,6,100.0,0,0.0,1,1,0,0,0,100.0,alta,ok
mitma_precio_m2_vivienda_limpio.csv,24366,10,99.95,0,0.0,4,3,0,0,0,100.0,alta,ok
bcn_aire_limpio.csv,15041,7,100.0,0,0.0,1,1,1,0,0,100.0,alta,ok
bcn_poblacion_limpio.csv,2136,13,100.0,0,0.0,7,2,5,0,0,100.0,alta,ok
ree_demanda_limpio.csv,29,5,100.0,0,0.0,1,1,0,0,0,100.0,alta,ok
