source,dataset,variable,metric,geo,raw_file,rows,min_period,max_period
REE,ree_precios,Precio electricidad,Precio mercado spot,España,api_clients\data\ree\ree_precios_raw.csv,56588,2023-12-31 23:00:00+00:00,2026-05-13 21:45:00+00:00
REE,ree_precios,Precio electricidad,PVPC,España,api_clients\data\ree\ree_precios_raw.csv,20735,2023-12-31 23:00:00+00:00,2026-05-13 21:00:00+00:00
INE,ipc_alimentos_barcelona,Inflación alimentaria,Nacional. Índice general. Variación anual.,España,api_clients\data\ine\ine_raw.csv,240,2005-12-31,2025-11-30
INE,ipc_general_barcelona,Índice general IPC,Nacional. Índice general. Índice.,España,api_clients\data\ine\ine_raw.csv,240,2005-12-31,2025-11-30
INE,ventas_retail_cataluna,Ventas retail,"Cataluña. Cifra de negocio a precios constantes. Comercio al por menor, excepto de vehículos de motor y motocicletas. General. Índice.",España,api_clients\data\ine\ine_raw.csv,240,2006-03-31,2026-02-28
INE,creacion_empresas_barcelona,Creación de empresas,Barcelona. Sociedades Constituídas. Mercantiles. Número de Sociedades.,España,api_clients\data\ine\ine_raw.csv,219,2007-12-31,2026-02-28
INE,tasa_paro_cataluna,Tasa de paro,Tasa de paro de la población. Ambos sexos. Cataluña. Total.,España,api_clients\data\ine\ine_raw.csv,97,2001-12-31,2025-12-31
MITMA/MIVAU,precio_m2_vivienda,Precio vivienda m2,Valor tasado de vivienda total,Barcelona,api_clients\data\mitma\precio_m2_venta_raw.xls,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Adeje, Santa Cruz de",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Agüimes, Las Palmas",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Alaquàs, Valencia",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Albacete, Albacete",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
MITMA/MIVAU,precio_m2_vivienda_municipios,Precio vivienda m2,Valor tasado de vivienda total por municipio,"Alcalá de Guadaíra, Sevilla",pag_web\Procesos\Datasets\limpios\mitma_precio_m2_vivienda_limpio.csv,84,2005-T1,2025-T4
