dataset,left_column,right_column,correlation,abs_correlation,overlap_rows,interpretation
bcn_movilidad_limpio.csv,bikesinusage,mechanicalbikesinusage,0.9999,0.9999,8055,positiva muy fuerte
bcn_turismo_limpio.csv,addresses_end_street_number,addresses_start_street_number,0.9999,0.9999,40,positiva muy fuerte
bcn_equipamientos_limpio.csv,addresses_end_street_number,addresses_start_street_number,0.9992,0.9992,495,positiva muy fuerte
sepe_paro_limpio.csv,paro_total,mujeres_45_mas,0.9989,0.9989,89026,positiva muy fuerte
sepe_paro_limpio.csv,paro_total,mujeres_25_44,0.9986,0.9986,81018,positiva muy fuerte
sepe_paro_limpio.csv,paro_total,sector_servicios,0.9979,0.9979,93723,positiva muy fuerte
sepe_paro_limpio.csv,hombres_25_44,sector_servicios,0.9979,0.9979,79120,positiva muy fuerte
sepe_paro_limpio.csv,paro_total,hombres_45_mas,0.9972,0.9972,88783,positiva muy fuerte
sepe_paro_limpio.csv,paro_total,hombres_25_44,0.9969,0.9969,79420,positiva muy fuerte
sepe_paro_limpio.csv,mujeres_25_44,mujeres_45_mas,0.9969,0.9969,78710,positiva muy fuerte
sepe_paro_limpio.csv,hombres_45_mas,sector_servicios,0.9967,0.9967,88048,positiva muy fuerte
sepe_paro_limpio.csv,hombres_25_44,hombres_45_mas,0.9965,0.9965,76668,positiva muy fuerte
sepe_paro_limpio.csv,hombres_menor_25,mujeres_menor_25,0.9963,0.9963,53156,positiva muy fuerte
sepe_paro_limpio.csv,mujeres_45_mas,sector_servicios,0.9962,0.9962,88687,positiva muy fuerte
bcn_licencias_limpio.csv,num_policia_inicial,num_policia_final,0.9956,0.9956,43991,positiva muy fuerte
sepe_paro_limpio.csv,mujeres_25_44,sector_servicios,0.9955,0.9955,80864,positiva muy fuerte
sepe_paro_limpio.csv,hombres_25_44,mujeres_25_44,0.9953,0.9953,73521,positiva muy fuerte
sepe_paro_limpio.csv,hombres_45_mas,mujeres_45_mas,0.9953,0.9953,84467,positiva muy fuerte
sepe_paro_limpio.csv,hombres_25_44,mujeres_45_mas,0.993,0.993,77079,positiva muy fuerte
sepe_paro_limpio.csv,hombres_45_mas,mujeres_25_44,0.9928,0.9928,78169,positiva muy fuerte
