file,path,suffix,size_mb,rows,columns,notes
empleo_log.json,api_clients\data\empleo\empleo_log.json,.json,0.001,4,,"json_dict_keys=fuente,timestamp,resultados,nota"
sepe_contratos_raw.csv,api_clients\data\empleo\sepe_contratos_raw.csv,.csv,21.115,97538,23.0,
sepe_descargas.json,api_clients\data\empleo\sepe_descargas.json,.json,0.005,12,,
sepe_paro_raw.csv,api_clients\data\empleo\sepe_paro_raw.csv,.csv,21.673,98156,24.0,
sepe_municipios_2025_05.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2025_05.xls,.xls,3.524,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS A CORUÑA, PARO ALBACETE,CONTRATOS ALBACETE,PARO ALICANTE,CONTRATOS ALICANTE"
sepe_municipios_2025_06.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2025_06.xls,.xls,3.662,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS A CORUÑA,PARO ALBACETE,CONTRATOS ALBACETE ,PARO ALICANTE,CONTRATOS ALICANTE"
sepe_municipios_2025_07.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2025_07.xls,.xls,3.515,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS A CORUÑA,PARO ALBACETE,CONTRATOS ALBACETE,PARO ALICANTE,CONTRATOS ALICANTE"
sepe_municipios_2025_08.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2025_08.xls,.xls,3.542,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS A CORUÑA,PARO ALBACETE,CONTRATOS ALBACETE,PARO ALICANTE,CONTRATOS ALICANTE"
sepe_municipios_2025_09.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2025_09.xls,.xls,3.341,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS A CORUÑA,PARO ALBACETE, CONTRATOS ALBACETE,PARO ALICANTE, CONTRATOS ALICANTE"
sepe_municipios_2025_10.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2025_10.xls,.xls,3.523,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS CORUÑA,PARO ALBACETE,CONTRATOS ALBACETE,PARO ALICANTE,CONTRATOS ALICANTE"
sepe_municipios_2025_11.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2025_11.xls,.xls,3.543,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS CORUÑA,PARO ALBACETE,CONTRATOS ALBACETE,PARO ALICANTE,CONTRATOS ALICANTE"
sepe_municipios_2025_12.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2025_12.xls,.xls,3.55,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS CORUÑA,PARO ALBACETE,CONTRATOS ALBACETE,PARO ALICANTE,CONTRATOS ALICANTE"
sepe_municipios_2026_01.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2026_01.xls,.xls,3.54,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS CORUÑA,PARO ALBACETE,CONTRATOS ALBACETE,PARO ALICANTE,CONTRATOS ALICANTE"
sepe_municipios_2026_02.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2026_02.xls,.xls,3.321,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS CORUÑA,PARO ALBACETE,CONTRATOS ALBACETE,PARO ALICANTE,CONTRATOS ALICANTE"
sepe_municipios_2026_03.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2026_03.xls,.xls,3.523,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS CORUÑA,PARO ALBACETE,CONTRATOS ALBACETE,PARO ALICANTE,CONTRATOS ALICANTE"
sepe_municipios_2026_04.xls,api_clients\data\empleo\sepe_xls\sepe_municipios_2026_04.xls,.xls,3.315,107,,"sheets=PORTADA,Indice,PARO A CORUÑA,CONTRATOS CORUÑA,PARO ALBACETE,CONTRATOS ALBACETE,PARO ALICANTE,CONTRATOS ALICANTE"
idescat_log.json,api_clients\data\idescat\idescat_log.json,.json,0.002,5,,"json_dict_keys=fuente,municipio,timestamp,indicadores_configurados,resultados"
idescat_raw.csv,api_clients\data\idescat\idescat_raw.csv,.csv,0.003,13,13.0,
idescat_raw.json,api_clients\data\idescat\idescat_raw.json,.json,0.007,13,,
ine_log.json,api_clients\data\ine\ine_log.json,.json,0.001,5,,"json_dict_keys=fuente,timestamp,nult,series_configuradas,resultados"
ine_raw.csv,api_clients\data\ine\ine_raw.csv,.csv,0.17,1059,8.0,
