dataset,column,non_null,nulls,null_pct,unique,numeric_non_null,key_like,recommended_action,reason,sample
bcn_equipamientos_limpio.csv,addresses_roadtype_id,0,2722,100.0,0,0,True,conservar_con_cautela,"Nulidad alta, pero puede aportar informacion parcial.",
bcn_turismo_limpio.csv,addresses_roadtype_id,0,446,100.0,0,0,True,conservar_con_cautela,"Nulidad alta, pero puede aportar informacion parcial.",
bcn_turismo_limpio.csv,institution_id,0,446,100.0,0,0,True,conservar_con_cautela,"Nulidad alta, pero puede aportar informacion parcial.",
bcn_turismo_limpio.csv,values_description,0,446,100.0,0,0,True,conservar_con_cautela,"Nulidad alta, pero puede aportar informacion parcial.",
ine_limpio.csv,unidad,0,1059,100.0,0,0,True,conservar_con_cautela,"Nulidad alta, pero puede aportar informacion parcial.",
bcn_equipamientos_limpio.csv,values_description,76,2646,97.21,39,0,True,conservar_con_cautela,"Nulidad alta, pero puede aportar informacion parcial.",Edifici Biscaia (infantil i primària) | Edifici Biscaia (infantil i primària) | Edifici Biscaia (infantil i primària)
bcn_zonas_verdes_limpio.csv,data_plantacio,2019,31370,93.95,340,0,True,conservar_con_cautela,"Nulidad alta, pero puede aportar informacion parcial.",2015-04-14 | 2026-03-30 | 2026-03-16
bcn_equipamientos_limpio.csv,institution_id,224,2498,91.77,157,224,True,conservar_con_cautela,"Nulidad alta, pero puede aportar informacion parcial.",75990678489.0 | 99400383772.0 | 92086008787.0
bcn_equipamientos_limpio.csv,institution_name,224,2498,91.77,157,0,False,revisar_columna,Muchos nulos; conservar solo si aporta contexto metodologico.,Clínica Guang An Men de Medicina Tradicional Xinesa | Associació Cultural Escola de Música de Gràcia | Universitat de Barcelona
bcn_turismo_limpio.csv,addresses_end_street_number,40,406,91.03,32,40,False,revisar_columna,Muchos nulos; conservar solo si aporta contexto metodologico.,34.0 | 621.0 | 6.0
bcn_equipamientos_limpio.csv,addresses_end_street_number,495,2227,81.81,166,495,False,revisar_columna,Muchos nulos; conservar solo si aporta contexto metodologico.,10.0 | 81.0 | 81.0
bcn_licencias_limpio.csv,nom_eix,16823,27177,61.77,29,0,False,revisar_columna,"Nulidad alta, pero puede aportar informacion parcial.",EL Clot | Sant Gervasi | Sant Gervasi
