dataset,column,dtype,non_null,nulls,null_pct,unique,numeric_non_null,sample
bcn_aire_limpio.csv,tram,str,15041,0,0.0,15041,0,T04719W | T19941Z | T18111R
bcn_aire_limpio.csv,rang,str,15041,0,0.0,7,0,20-30 µg/m³ | 20-30 µg/m³ | 10-20 µg/m³
bcn_aire_limpio.csv,id,int64,15041,0,0.0,15041,15041,1 | 2 | 3
bcn_aire_limpio.csv,geom_wkt,str,15041,0,0.0,15041,0,"MultiLineString ((430229.78859372 4586585.19905775, 430181.87658409 4586593.70443592)) | MultiLineString ((432928.8982969 4584019.98762825, 432994.98396587 4583963.09304168)) | MultiLineString ((429953.2631029 4588161.44067207, 429981.4182434 4588174.24947826, 430025.29847637 4588196.06217914))"
bcn_aire_limpio.csv,variable_iseu,str,15041,0,0.0,1,0,Calidad del aire | Calidad del aire | Calidad del aire
bcn_aire_limpio.csv,dataset_key,str,15041,0,0.0,1,0,bcn_aire | bcn_aire | bcn_aire
bcn_aire_limpio.csv,extraido_en,str,15041,0,0.0,1,0,2026-05-14T00:49:05 | 2026-05-14T00:49:05 | 2026-05-14T00:49:05
bcn_alquiler_limpio.csv,seccion_censal,int64,1068,0,0.0,1068,1068,801901001 | 801901002 | 801901003
bcn_alquiler_limpio.csv,tasa_alquiler_renta,float64,1068,0,0.0,1054,1068,0.38210072869 | 0.45492019364 | 0.42848758465
bcn_alquiler_limpio.csv,percentil_alquiler,str,1068,0,0.0,4,0,60% - 80% | 60% - 80% | 60% - 80%
bcn_alquiler_limpio.csv,geometry_wkt,str,1068,0,0.0,1068,0,"MULTIPOLYGON (((431304.7731 4580691.553, 431303.85 4580690.06, 431259.02 4580617.44, 431283.62 4580602.53, 431270.81 458 | MULTIPOLYGON (((431050.9895 4581133.5904, 431058.4714 4581119.6324, 431046.9022 4581102.3804, 431045.5012 4581099.7594,  | MULTIPOLYGON (((430889.5604 4580894.5943, 430884.9863 4580881.0993, 430854.7696 4580799.7154, 430839.9802 4580751.5445, "
bcn_alquiler_limpio.csv,variable_iseu,str,1068,0,0.0,1,0,Precio alquiler medio | Precio alquiler medio | Precio alquiler medio
bcn_alquiler_limpio.csv,fuente,str,1068,0,0.0,1,0,Open Data BCN | Open Data BCN | Open Data BCN
bcn_alquiler_limpio.csv,nota_calidad,str,1068,0,0.0,1,0,"Proxy: tasa/esfuerzo de alquiler por seccion censal, no renta mensual en euros. | Proxy: tasa/esfuerzo de alquiler por seccion censal, no renta mensual en euros. | Proxy: tasa/esfuerzo de alquiler por seccion censal, no renta mensual en euros."
bcn_alquiler_limpio.csv,extraido_en,str,1068,0,0.0,1,0,2026-05-14T00:57:27 | 2026-05-14T00:57:27 | 2026-05-14T00:57:27
bcn_equipamientos_limpio.csv,addresses_end_street_number,float64,495,2227,0.8181,166,495,10.0 | 81.0 | 81.0
bcn_equipamientos_limpio.csv,geo_epgs_4326_lon,float64,2721,1,0.0004,1816,2721,2.1398183076058688 | 2.175486170509417 | 2.175486170509417
bcn_equipamientos_limpio.csv,values_attribute_name,str,2676,46,0.0169,10,0,Tel. | Tel. | Tel.
bcn_equipamientos_limpio.csv,addresses_road_name,str,2718,4,0.0015,1149,0,Carrer de la Reina Victòria | Rambla de Volart | Rambla de Volart
bcn_equipamientos_limpio.csv,values_category,str,2676,46,0.0169,1,0,Telèfons | Telèfons | Telèfons
bcn_equipamientos_limpio.csv,addresses_zip_code,float64,2717,5,0.0018,43,2717,8021.0 | 8041.0 | 8041.0
bcn_equipamientos_limpio.csv,secondary_filters_id,float64,2004,718,0.2638,27,2004,56732071.0 | 56731068.0 | 56731069.0
bcn_equipamientos_limpio.csv,values_value,str,2676,46,0.0169,1862,1981,93 200 11 33 | 934368827 | 934368827
