indicador_id,nombre,valores_raw,barcelona,comarca,catalunya,columnas,referencia,fuente_idescat,actualizado,extraido_en,variable_iseu,clave_config
f171,Població,"1713247,2398280,8124126",1713247,2398280,8124126,"['Barcelona', 'Barcelonès', 'Catalunya']",2025,"Idescat, a partir del Cens de població anual de l'INE.",2026-02-25T11:00:00+00:00,2026-04-01T22:29:07,Población,poblacion
f53,Creixement total de la població,"15.91,18.51,13.87",15.91,18.51,13.87,"['Barcelona', 'Barcelonès', 'Catalunya']",2024,Idescat. Indicadors demogràfics.,2025-05-07T10:00:00+00:00,2026-04-01T22:29:07,Crecimiento población,crecimiento_poblacion
f197,VAB serveis,"73729.4,85588.4,204236.1",73729.4,85588.4,204236.1,"['Barcelona', 'Barcelonès', 'Catalunya']",2023 (p),Idescat.,2025-12-11T11:00:00+00:00,2026-04-01T22:29:07,PIB regional,vab_servicios
f195,VAB indústria,"4762.0,6368.6,52200.0",4762.0,6368.6,52200.0,"['Barcelona', 'Barcelonès', 'Catalunya']",2023 (p),Idescat.,2025-12-11T11:00:00+00:00,2026-04-01T22:29:07,Dinamismo económico,vab_industria
f196,VAB construcció,"3004.4,3942.3,13500.6",3004.4,3942.3,13500.6,"['Barcelona', 'Barcelonès', 'Catalunya']",2023 (p),Idescat.,2025-12-11T11:00:00+00:00,2026-04-01T22:29:08,Dinamismo económico,vab_construccion
f209,VAB comerç,"9831.3,12190.5,35483.1",9831.3,12190.5,35483.1,"['Barcelona', 'Barcelonès', 'Catalunya']",2023 (p),Idescat.,2025-12-11T11:00:00+00:00,2026-04-01T22:29:08,Ventas retail,vab_comercio
f210,VAB hostaleria,"7251.5,7991.7,18733.9",7251.5,7991.7,18733.9,"['Barcelona', 'Barcelonès', 'Catalunya']",2023 (p),Idescat.,2025-12-11T11:00:00+00:00,2026-04-01T22:29:08,Turismo (nº visitantes),vab_hostaleria
f215,Hotels,"751,795,3167",751,795,3167,"['Barcelona', 'Barcelonès', 'Catalunya']",2024,"Idescat, a partir del Departament d'Empresa i Treball.",2025-06-12T10:00:00+00:00,2026-04-01T22:29:08,Ocupación hotelera,hoteles
f216,Places d'hotels,"82827,89755,329102",82827,89755,329102,"['Barcelona', 'Barcelonès', 'Catalunya']",2024,"Idescat, a partir del Departament d'Empresa i Treball.",2025-06-12T10:00:00+00:00,2026-04-01T22:29:08,Ocupación hotelera,plazas_hotel
f193,Habitatges familiars principals,"671178,914259,2989357",671178,914259,2989357,"['Barcelona', 'Barcelonès', 'Catalunya']",2021,"Idescat, a partir del Cens de població i habitatges de l'INE.",2023-10-30T11:00:00+00:00,2026-04-01T22:29:08,Ratio vivienda / ingresos,viviendas_principales
f200,IBI. Quota íntegra,"829660903,1002580796,3148702722",829660903,1002580796,3148702722,"['Barcelona', 'Barcelonès', 'Catalunya']",2024,"Idescat, a partir de la Direcció General del Cadastre.",2025-06-26T10:00:00+00:00,2026-04-01T22:29:08,Presión fiscal,ibi_cuota
f198,IBI. Rebuts,"1170624,1576638,6021771",1170624,1576638,6021771,"['Barcelona', 'Barcelonès', 'Catalunya']",2024,"Idescat, a partir de la Direcció General del Cadastre.",2025-06-26T10:00:00+00:00,2026-04-01T22:29:09,Presión fiscal,ibi_recibos
f300,Espais esportius,"5112,6896,52108",5112,6896,52108,"['Barcelona', 'Barcelonès', 'Catalunya']",2024,"Idescat, a partir del Consell Català de l'Esport.",2025-03-03T11:00:00+00:00,2026-04-01T22:29:09,Accesibilidad y bienestar,espacios_deportivos
