fecha,valor_eur_mwh,concepto,tipo,variable_iseu,extraido_en
2025-03-01T00:00:00.000+01:00,154.17,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T01:00:00.000+01:00,132.96,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T02:00:00.000+01:00,131.63,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T03:00:00.000+01:00,126.15,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T04:00:00.000+01:00,120.3,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T05:00:00.000+01:00,115.43,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T06:00:00.000+01:00,124.01,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T07:00:00.000+01:00,125.93,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T08:00:00.000+01:00,121.62,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T09:00:00.000+01:00,112.34,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T10:00:00.000+01:00,88.57,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T11:00:00.000+01:00,75.64,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T12:00:00.000+01:00,68.97,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T13:00:00.000+01:00,68.46,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T14:00:00.000+01:00,63.36,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T15:00:00.000+01:00,60.21,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T16:00:00.000+01:00,68.12,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T17:00:00.000+01:00,73.7,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T18:00:00.000+01:00,101.98,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T19:00:00.000+01:00,107.87,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T20:00:00.000+01:00,118.53,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T21:00:00.000+01:00,118.74,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T22:00:00.000+01:00,124.66,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T23:00:00.000+01:00,104.61,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T00:00:00.000+01:00,103.15,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T01:00:00.000+01:00,93.53,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T02:00:00.000+01:00,94.35,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T03:00:00.000+01:00,95.44,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T04:00:00.000+01:00,97.66,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T05:00:00.000+01:00,98.79,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T06:00:00.000+01:00,97.59,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T07:00:00.000+01:00,95.16,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T08:00:00.000+01:00,93.01,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T09:00:00.000+01:00,96.15,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T10:00:00.000+01:00,100.43,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T11:00:00.000+01:00,90.7,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T12:00:00.000+01:00,53.89,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T13:00:00.000+01:00,74.14,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T14:00:00.000+01:00,77.11,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T15:00:00.000+01:00,89.8,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T16:00:00.000+01:00,119.86,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T17:00:00.000+01:00,121.63,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T18:00:00.000+01:00,128.79,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T19:00:00.000+01:00,155.76,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T20:00:00.000+01:00,167.88,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T21:00:00.000+01:00,166.85,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T22:00:00.000+01:00,132.92,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-02T23:00:00.000+01:00,118.96,PVPC,PVPC,Precio electricidad,2026-04-01T22:29:03
2025-03-01T00:00:00.000+01:00,105.36,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T00:15:00.000+01:00,105.36,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T00:30:00.000+01:00,105.36,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T00:45:00.000+01:00,105.36,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T01:00:00.000+01:00,85.2,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-01T01:15:00.000+01:00,85.2,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
