scope,source,file,extension,bytes,rows_detected,encoding_detected,separator_detected,columns_detected,columns_count
apis,aemet,data_lake\bronze\apis\aemet\aemet_swagger_ui.html,.html,1692,,,,,0
apis,aemet,data_lake\bronze\apis\aemet\manifest_raw.json,.json,522,,,,,0
apis,catalogos,data_lake\bronze\apis\catalogos\accidentes_trafico_datos_gob_search_raw.json,.json,1223,,,,,0
apis,catalogos,data_lake\bronze\apis\catalogos\calidad_aire_datos_gob_search_raw.json,.json,48132,,,,,0
apis,catalogos,data_lake\bronze\apis\catalogos\contratos_municipio_datos_gob_search_raw.json,.json,1231,,,,,0
apis,catalogos,data_lake\bronze\apis\catalogos\manifest_raw.json,.json,5539,,,,,0
apis,catalogos,data_lake\bronze\apis\catalogos\movilidad_datos_gob_search_raw.json,.json,57687,,,,,0
apis,catalogos,data_lake\bronze\apis\catalogos\paro_municipio_datos_gob_search_raw.json,.json,1191,,,,,0
apis,catalogos,data_lake\bronze\apis\catalogos\poblacion_municipios_datos_gob_search_raw.json,.json,1239,,,,,0
apis,catalogos,data_lake\bronze\apis\catalogos\precio_vivienda_municipio_datos_gob_search_raw.json,.json,1295,,,,,0
apis,catalogos,data_lake\bronze\apis\catalogos\renta_municipios_datos_gob_search_raw.json,.json,1207,,,,,0
apis,catalogos,data_lake\bronze\apis\catalogos\zonas_verdes_datos_gob_search_raw.json,.json,79713,,,,,0
apis,ine,data_lake\bronze\apis\ine\manifest_raw.json,.json,2955,,,,,0
apis,ine,data_lake\bronze\apis\ine\poblacion_municipio_pais_nacimiento\dataset_metadata.json,.json,168,,,,,0
apis,ine,data_lake\bronze\apis\ine\poblacion_municipio_pais_nacimiento\poblacion_municipio_pais_nacimiento_csv_semicolon.csv,.csv,36599956,532800.0,utf-8-sig,;,Sexo|Provincias|Municipios|País de nacimiento|Periodo|Total,6
apis,ine,data_lake\bronze\apis\ine\poblacion_municipio_pais_nacimiento\poblacion_municipio_pais_nacimiento_json_latest_metadata.json,.json,15304278,,,,,0
apis,ine,data_lake\bronze\apis\ine\poblacion_municipio_pais_nacimiento\poblacion_municipio_pais_nacimiento_xlsx.xlsx,.xlsx,2064344,,,,,0
apis,ine,data_lake\bronze\apis\ine\poblacion_municipio_sexo\dataset_metadata.json,.json,144,,,,,0
apis,ine,data_lake\bronze\apis\ine\poblacion_municipio_sexo\poblacion_municipio_sexo_csv_semicolon.csv,.csv,6387372,121980.0,utf-8-sig,;,Total Nacional|Municipios|Sexo|Periodo|Total,5
apis,ine,data_lake\bronze\apis\ine\poblacion_municipio_sexo\poblacion_municipio_sexo_json_latest_metadata.json,.json,16457464,,,,,0
apis,ine,data_lake\bronze\apis\ine\poblacion_municipio_sexo\poblacion_municipio_sexo_xlsx.xlsx,.xlsx,685804,,,,,0
apis,mitma,data_lake\bronze\apis\mitma\manifest_raw.json,.json,2095,,,,,0
apis,mitma,data_lake\bronze\apis\mitma\portal_opendata_movilidad.html,.html,48647,,,,,0
apis,mitma,data_lake\bronze\apis\mitma\README_formato_ficheros_movilidad_MITMA_20201228.pdf,.pdf,174204,,,,,0
apis,mitma,data_lake\bronze\apis\mitma\relaciones_distrito_mitma.csv,.csv,257168,10494.0,utf-8-sig,|,distrito|distrito_mitma|municipio_mitma,3
apis,sepe,data_lake\bronze\apis\sepe\contratos_registrados\dataset_metadata_raw.json,.json,36158,,,,,0
apis,sepe,data_lake\bronze\apis\sepe\contratos_registrados\datos_gob_search_raw.json,.json,124220,,,,,0
apis,sepe,data_lake\bronze\apis\sepe\contratos_registrados\resources\2010_2010.csv,.csv,9331194,97405.0,cp1252,;,"Unnamed: 0|Unnamed: 1|Unnamed: 2|Unnamed: 3|CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA|Unnamed: 5|Unnamed: 6|Unnamed: 7|Unnamed: 8|Unnamed: 9|Unnamed: 10|Unnamed: 11|Unnamed: 12|Unnamed: 13|Unnamed: 14|Unnamed: 15|Unnamed: 16|Unnamed: 17|Unnamed: 18",19
apis,sepe,data_lake\bronze\apis\sepe\contratos_registrados\resources\2011_2011.csv,.csv,9327696,97405.0,cp1252,;,"Unnamed: 0|Unnamed: 1|Unnamed: 2|Unnamed: 3|CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA|Unnamed: 5|Unnamed: 6|Unnamed: 7|Unnamed: 8|Unnamed: 9|Unnamed: 10|Unnamed: 11|Unnamed: 12|Unnamed: 13|Unnamed: 14|Unnamed: 15|Unnamed: 16|Unnamed: 17|Unnamed: 18",19
apis,sepe,data_lake\bronze\apis\sepe\contratos_registrados\resources\2012_2012.csv,.csv,9324064,97405.0,cp1252,;,"Unnamed: 0|Unnamed: 1|Unnamed: 2|Unnamed: 3|CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA|Unnamed: 5|Unnamed: 6|Unnamed: 7|Unnamed: 8|Unnamed: 9|Unnamed: 10|Unnamed: 11|Unnamed: 12|Unnamed: 13|Unnamed: 14|Unnamed: 15|Unnamed: 16|Unnamed: 17|Unnamed: 18",19
